Gene_ID	Healthy_012	Healthy_011	Healthy_015	Healthy_013	AcneInversa_ROS11E	AcneInversa_ROS8C1	AcneInversa_ROS4D1
Group	Healthy	Healthy	Healthy	Healthy	Acne_Inversa	Acne_Inversa	Acne_Inversa
ENSG00000057704	6.52624	6.57428	6.26711	5.83	5.87254	5.73039	5.65704
ENSG00000257847	0	0.825821	1.90412	0.495105	0.594126	0.825821	0.099021
ENSG00000216306	1.53646	1.47854	1.44666	1.12288	2.21574	1.7588	1.86302
ENSG00000184752	5.16116	5.25097	5.30721	5.18875	5.18875	5.1449	5.54548
ENSG00000120798	5.44868	5.30721	5.33497	5.71555	5.71084	5.55148	5.74754
ENSG00000180263	6.59724	6.31352	6.40094	6.49191	6.58699	6.41744	6.31936
ENSG00000257121	2.2965	2.18708	1.90412	2.54916	2.0309	2.21574	1.86302
ENSG00000237774	1.53646	2.34641	1.90412	2.22936	2.32255	2.39632	1.86302
ENSG00000028203	6.80339	6.48627	6.6332	6.74108	6.68676	6.44303	6.50297
ENSG00000202470	1.53646	1.24618	0.767897	0.495105	1.6146	0.941668	1.35103
ENSG00000257666	1.69274	2.18708	0.767897	1.38291	1.84394	1.28727	2.31012
ENSG00000212535	0.594126	0	0	1.6146	1.53646	0.825821	1.35103
ENSG00000257943	1.28727	1.24618	0.198042	1.92319	1.12288	0.941668	0.099021
ENSG00000111142	6.5696	6.19229	6.37373	6.44949	6.37957	6.11675	6.07203
ENSG00000136014	3.05311	3.42958	2.90853	3.2764	2.73987	2.21574	2.80502
ENSG00000257150	3.63994	3.72437	3.31449	3.77573	2.73987	1.90412	0.099021
ENSG00000074527	6.15131	6.27287	6.1974	6.46188	5.36938	5.46021	4.49542
ENSG00000139343	4.79243	4.844	4.86602	4.73682	4.86719	4.63838	4.95839
ENSG00000165972	2.2965	2.33498	2.32255	2.54916	2.58731	1.995	1.66669
ENSG00000139344	2.25541	2.95717	2.60639	2.52714	2.87278	3.11796	2.31012
ENSG00000084110	7.2584	7.62852	7.26914	7.44749	7.16006	7.08133	4.28098
ENSG00000257878	2.0309	1.92319	2.60639	2.11148	0.941668	1.7588	1.35103
ENSG00000111144	6.61022	6.3698	6.43475	6.50976	6.83759	6.81079	7.14225
ENSG00000257715	1.08179	1.73678	0.709973	1.6146	1.6146	1.86302	1.66669
ENSG00000111145	6.1193	5.87408	5.9472	6.18206	6.94452	6.83444	6.86588
ENSG00000258177	1.08179	1.24618	1.44666	2.38489	2.55902	3.08258	2.81235
ENSG00000059758	6.35825	6.2149	6.18769	6.54785	6.72784	6.71346	6.65766
ENSG00000201435	2.4518	1.92319	2.0796	1.73678	2.55902	2.31012	2.85809
ENSG00000257169	2.64471	2.62683	2.90853	2.87278	3.67636	3.47804	3.43372
ENSG00000188596	3.52525	3.15194	3.42544	3.49425	5.20657	5.5909	4.83112
ENSG00000258846	0	0	0	1.12288	0.198042	1.995	1.66669
ENSG00000139350	5.46506	5.25629	5.49753	5.5226	5.68343	5.41434	5.63092
ENSG00000257501	2.0309	0.767897	0.198042	0	0.941668	0.825821	0
ENSG00000206899	0.594126	0	1.84394	0	0.198042	2.21574	3.00962
ENSG00000227825	2.18708	2.72349	2.21574	1.6146	2.93583	3.05311	3.15194
ENSG00000245017	0.594126	0	1.28727	1.38291	1.53646	1.7588	2.15841
ENSG00000257167	2.4518	3.07698	3.04031	2.68864	3.44961	3.13479	2.85076
ENSG00000120802	6.73353	6.58894	6.55762	6.6612	7.13697	6.78246	6.79737
ENSG00000075415	7.86291	7.93962	7.88982	7.91399	7.8577	7.7495	7.78407
ENSG00000212443	6.52023	6.7687	6.36401	5.67818	6.10404	6.4003	8.03881
ENSG00000166130	3.95409	4.19138	3.62254	4.4764	5.29556	5.37004	5.82777
ENSG00000120868	5.81748	5.66683	5.76736	5.8986	6.21855	6.29932	6.48085
ENSG00000185046	4.88059	5.28724	4.68474	5.24695	4.20488	4.11188	3.26127
ENSG00000257458	1.995	1.47854	1.28727	1.12288	0.941668	0.941668	1.35103
ENSG00000180219	2.58731	2.65337	1.92319	1.96134	1.84394	0.941668	0
ENSG00000214203	0.594126	0.594126	1.84394	1.38291	0.941668	1.44666	2.58731
ENSG00000279148	1.47854	2.5067	2.12653	2.39632	2.60639	2.21574	2.79686
ENSG00000111647	6.07338	5.86399	6.049	6.24289	6.40558	6.17202	6.6094
ENSG00000280088	4.05565	3.97653	3.81388	3.86107	3.97893	4.22584	4.55543
ENSG00000238105	5.66844	5.78567	5.62728	5.66117	5.25097	5.17278	5.0514
ENSG00000257489	2.8274	3.15194	3.20541	3.00297	2.74804	2.92948	3.40826
ENSG00000075089	5.55044	5.5856	5.04237	5.08538	4.93181	4.84627	5.00065
ENSG00000166153	3.05311	3.08258	2.91586	2.56824	2.38489	2.21574	2.54916
ENSG00000136021	6.88646	6.76634	6.68267	6.67571	6.64694	6.48497	6.65431
ENSG00000179520	1.73678	2.48625	1.7588	1.58855	0.198042	0.198042	0
ENSG00000012504	4.76662	0.767897	2.60639	1.12288	1.84394	0.198042	0.099021
ENSG00000139354	4.98329	4.48941	4.99548	4.6095	4.96279	4.4376	4.94005
ENSG00000257803	2.79686	2.61625	3.07698	3.00297	2.32255	1.7588	2.78913
ENSG00000151572	1.47854	2.96352	1.44666	2.32255	0.198042	1.28727	1.66669
ENSG00000256870	3.12896	2.5067	2.0796	2.5067	2.66259	0.198042	0.198042
ENSG00000120800	6.65174	6.34331	6.39814	6.66009	6.52023	6.33883	6.58528
ENSG00000120805	6.84864	6.755	6.55609	6.6094	6.45862	6.42155	6.38316
ENSG00000257543	1.47854	0.767897	0	1.84394	1.53646	1.8821	2.31012
ENSG00000196091	7.25231	7.23268	7.03705	7.14625	5.32242	2.20213	1.66669
ENSG00000257514	1.47854	1.92319	1.92319	1.96134	0.198042	0.297063	0.198042
ENSG00000111666	6.14402	6.13639	5.78156	6.37957	5.59468	5.39323	5.94111
ENSG00000199933	1.995	1.24618	1.66669	1.84394	1.84394	0.941668	0.198042
ENSG00000139351	4.76789	4.88862	4.67864	4.89431	4.55543	4.20691	4.56464
ENSG00000111670	6.9878	6.94452	6.96806	7.11235	7.06862	6.96579	7.4349
ENSG00000222255	0.594126	0	1.92319	1.12288	0	0.941668	0.099021
ENSG00000258230	3.31449	3.47413	3.03423	3.2764	3.37336	3.05311	3.27156
ENSG00000222932	1.73678	1.47854	0.825821	0	0.198042	1.31915	0.099021
ENSG00000136048	4.45994	4.45852	4.46165	4.81874	6.14456	6.1855	6.81774
ENSG00000257202	1.08179	0	0.825821	1.58855	1.86302	2.14158	2.54916
ENSG00000258308	0.594126	0	0.825821	0	2.21574	2.14158	3.04031
ENSG00000120860	5.24204	4.97628	5.40918	5.18572	5.29379	5.47948	5.81404
ENSG00000257222	0	0.709973	1.28727	1.12288	1.12288	0.941668	0.099021
ENSG00000075188	4.58461	4.79243	4.79795	4.66549	4.72555	4.66905	5.10195
ENSG00000185480	4.03762	4.29314	3.57317	4.10371	4.40662	3.80194	4.49377
ENSG00000281344	5.08367	5.40524	5.24878	5.37253	5.62682	5.06138	5.17055
ENSG00000283052	2.77364	2.72349	2.49684	1.97817	2.37246	2.31012	3.04031
ENSG00000017427	4.21847	4.88663	4.13293	4.07125	4.61585	4.80405	5.31224
ENSG00000257254	0	0.709973	0	0	0.941668	1.7588	2.15841
ENSG00000258169	0	0.709973	1.7588	0	1.6146	1.86302	1.66669
ENSG00000171759	1.12288	0.709973	1.28727	1.35103	2.66259	1.7588	1.84394
ENSG00000179088	1.47854	0	0.825821	0.495105	2.72349	2.8274	4.10371
ENSG00000136011	3.82478	4.05343	4.15951	4.09287	4.89526	4.65698	2.87278
ENSG00000257681	1.28727	2.33498	0.825821	1.97817	1.53646	2.20213	2.54916
ENSG00000111696	5.74948	5.69916	5.3599	5.32862	5.01371	5.40859	5.37318
ENSG00000257754	1.28727	1.24618	1.7588	1.58855	0	1.31915	1.66669
ENSG00000214198	2.77364	2.73215	2.58731	2.12653	3.42104	3.42958	3.5911
ENSG00000166598	8.26532	7.61296	7.76563	7.9118	8.68371	8.81243	8.68655
ENSG00000204954	4.08646	3.81106	3.97653	4.23893	4.28273	4.40335	4.5567
ENSG00000139372	5.38393	5.27944	5.26494	5.38274	5.32242	5.30531	5.53784
ENSG00000120820	4.65459	4.92931	4.45852	4.94005	5.68576	5.63138	6.01542
ENSG00000111727	6.04068	5.88585	5.97656	6.09927	5.93563	5.93776	6.08491
ENSG00000120837	5.61532	5.49816	5.60332	5.48342	5.69874	5.38859	5.49874
ENSG00000198431	7.04281	7.05283	6.80688	6.8712	6.8338	6.59631	6.76405
ENSG00000257732	1.73678	2.0796	1.28727	1.96134	2.0309	1.28727	0.099021
ENSG00000213442	2.5067	2.87278	2.4518	2.54916	2.92948	3.07114	3.36896
ENSG00000255150	4.15564	4.29127	4.28098	4.40335	4.63981	4.01675	4.32951
ENSG00000171310	5.09792	5.13424	4.81874	5.16475	6.95492	6.67129	7.17958
ENSG00000258111	2.5067	1.7588	2.5067	2.20213	4.03035	3.69293	4.27738
ENSG00000279176	3.11796	2.5067	2.4518	2.32255	4.79243	4.2701	4.31582
ENSG00000264295	0	0	0	0	1.53646	1.44666	2.15841
ENSG00000136052	6.31168	6.50829	5.71152	5.74124	5.8603	5.90268	6.22113
ENSG00000151131	6.73976	6.64016	6.60877	6.50126	6.41643	6.62868	6.29427
ENSG00000136010	5.24407	5.09319	5.14712	5.21054	6.46626	6.5918	7.08991
ENSG00000136051	7.06371	6.89538	6.91501	7.02986	7.26396	7.15619	7.44765
